State,Issuer_Id,Issuer_Name,Is_Issuer_New_to_Exchange,Issuer_Claims_Received_In_Network,Issuer_Claims_Denied_In_Network,Denial_Rate,Plan_Id,Plan_Type,Metal_Level,Plan_Claims_Received,Plan_Claims_Received_In_Network,Plan_Claims_Received_Out_Of_Network,Plan_Claims_Denied,Plan_Claims_Denied_In_Network,Plan_Claims_Denied_Out_Of_Network,Plan_Denial_Rate,Plan_Claims_Denial_Rate_In_Network,Plan_Claims_Denial_Rate_Out_Of_Network,Plan_Claims_Resubmitted_In_Network,Plan_Claims_Resubmitted_Out_Of_Network,Plan_Claims_Denied_Due_To_Referral_Required,Plan_Claims_Denied_Due_To_Out_Of_Network,Plan_Claims_Denied_Due_To_Services_Excluded,Plan_Claims_Denied_Due_To_Not_Medically_Necessary,Plan_Claims_Denied_Due_To_Not_Medically_Necessary_Excluding_Behavioral_Health,Plan_Claims_Denied_Due_To_Not_Medically_Necessary_Only_Behavioral_Health,Plan_Claims_Denied_Due_To_Enrollee_Benefit_Limit_Reached,Plan_Claims_Denied_Due_To_Member_Not_Covered,Plan_Claims_Denied_Due_To_Investigational_Experimental_Cosmetic_Procedure,Plan_Claims_Denied_Due_To_Administrative_Reason,Plan_Claims_Denied_Due_To_Other,Plan_Claims_Denied_Proportion_Due_To_Referral_Required,Plan_Claims_Denied_Proportion_Due_To_Services_Excluded,Plan_Claims_Denied_Proportion_Due_To_Not_Medically_Necessary,Plan_Claims_Denied_Proportion_Due_To_Not_Medically_Necessary_Excluding_Behavioral_Health,Plan_Claims_Denied_Proportion_Due_To_Not_Medically_Necessary_Only_Behavioral_Health,Plan_Claims_Denied_Proportion_Due_To_Enrollee_Benefit_Limit_Reached,Plan_Claims_Denied_Proportion_Due_To_Member_Not_Covered,Plan_Claims_Denied_Proportion_Due_To_Investigational_Experimental_Cosmetic_Procedure,Plan_Claims_Denied_Proportion_Due_To_Administrative_Reason,Plan_Claims_Denied_Proportion_Due_To_Other,Average_Monthly_Enrollment,Average_Monthly_Disenrollment
MO,34762,Blue Cross and Blue Shield of Kansas City,No,164345,33913,0.219387451,34762MO0590023,EPO,Catastrophic,76,76,**,32,32,**,0.421052632,0.421052632,,**,**,**,13,**,,**,**,**,30,**,**,**,,,,,,,1,,,,**,**
TX,34826,"Imperial Insurance Companies, Inc.",No,38,**,,34826TX0030001,HMO,Bronze,25,25,**,,**,**,,,,**,**,**,**,**,,**,**,**,**,**,**,**,,,,,,,,,,,**,**
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0810080,HMO,Gold,92723,84764,7959,25481,20381,5100,0.274807761,0.240444056,0.640784018,1094,299,9690,229,2751,,**,**,1523,989,**,2009,9011,0.373079737,0.105917684,,,,0.058637816,0.038078004,,0.077349555,0.346937204,1024,143
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0810081,HMO,Silver,108040,99750,8290,36104,29701,6403,0.334172529,0.297754386,0.772376357,897,95,6429,179,8015,28,28,**,4687,351,**,2473,13962,0.178856586,0.222979552,0.000778968,0.000778968,,0.130393657,0.009764919,,0.068799555,0.388426763,3906,395
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0810083,HMO,Bronze Expanded,62224,56271,5953,20767,16614,4153,0.333745822,0.295249773,0.697631446,320,93,3168,162,4518,,**,**,2278,277,**,1955,8432,0.153577661,0.219022688,,,,0.110432422,0.01342835,,0.094774093,0.408764786,3060,325
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0810090,HMO,Gold,40236,38027,2209,10742,9329,1413,0.266974848,0.24532569,0.639655953,191,43,3712,56,1611,15,15,**,1201,51,**,602,4097,0.328815661,0.142705288,0.001328727,0.001328727,,0.106386748,0.004517672,,0.053326247,0.362919656,728,96
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0810091,HMO,Gold,34959,32209,2750,9811,7844,1967,0.280643039,0.243534416,0.715272727,379,106,3273,43,1276,,**,**,853,216,**,842,3445,0.330439172,0.128823826,,,,0.086118122,0.021807168,,0.085007572,0.347804139,562,72
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0810092,HMO,Gold,15083,14111,972,4568,3809,759,0.302857522,0.269931259,0.780864198,268,15,742,25,932,,**,**,570,35,**,478,1799,0.16286216,0.204565408,,,,0.125109745,0.007682177,,0.104916594,0.394863916,432,51
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0810093,HMO,Gold,12730,12063,667,3890,3368,522,0.305577376,0.279200862,0.782608696,581,19,577,**,707,,**,**,595,35,**,746,1224,0.148558187,0.182028836,,,,0.153192585,0.009011329,,0.192070031,0.315139032,358,48
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0810094,HMO,Gold,2497,2266,231,810,599,211,0.324389267,0.264342454,0.913419913,**,**,195,**,155,,**,**,88,47,**,30,290,0.242236025,0.192546584,,,,0.10931677,0.058385093,,0.037267081,0.360248447,91,13
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0810096,HMO,Silver,85887,82139,3748,25240,22610,2630,0.29387451,0.275265099,0.701707577,457,78,3402,84,6043,,**,**,3739,284,**,1821,9874,0.135198506,0.240154195,,,,0.148591185,0.011286413,,0.07236816,0.392401542,3282,347
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0810097,HMO,Silver,82850,76944,5906,25586,21333,4253,0.308823174,0.277253587,0.720115137,478,86,4467,91,6223,,**,**,3158,269,**,1727,9692,0.174929511,0.243695175,,,,0.123668546,0.010534148,,0.067630013,0.379542607,3422,344
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0810098,HMO,Silver,71295,65693,5602,22844,18399,4445,0.320415176,0.280075503,0.793466619,533,115,4384,122,5012,,**,**,2845,277,**,1642,8604,0.192584783,0.220172202,,,,0.124978035,0.012168336,,0.072131436,0.377965208,2869,284
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0810099,HMO,Silver,78949,73011,5938,24743,20188,4555,0.313404856,0.27650628,0.767093297,1177,90,3839,161,5664,,**,**,3206,390,**,2341,9177,0.155949141,0.230084901,,,,0.130235203,0.01584271,,0.095096884,0.372791161,3349,428
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0810100,HMO,Silver,32520,29533,2987,10569,8085,2484,0.325,0.273761555,0.831603616,818,28,1935,123,1966,,**,**,1062,409,**,1282,3814,0.184849064,0.18781047,,,,0.101452044,0.039071456,,0.122468475,0.364348491,1233,161
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0810108,HMO,Bronze Expanded,39868,37021,2847,11929,10045,1884,0.299212401,0.271332487,0.66174921,218,40,1563,95,2856,,**,**,1697,154,**,1040,4535,0.131954411,0.241114394,,,,0.143267201,0.013001266,,0.08780076,0.382861967,2322,275
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0810109,HMO,Bronze Expanded,42397,37870,4527,13079,9875,3204,0.308488808,0.260760496,0.707753479,164,257,2097,87,2956,,**,**,1682,101,**,1277,4906,0.161072279,0.227052769,,,,0.129195791,0.007757892,,0.098087411,0.376833858,2499,282
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0810110,HMO,Bronze Expanded,26309,23998,2311,7993,6264,1729,0.303812384,0.261021752,0.748160969,130,27,1010,47,1750,,**,**,934,177,**,624,3453,0.127075994,0.220181178,,,,0.11751384,0.022269753,,0.078510317,0.434448918,1505,186
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0810111,HMO,Bronze Expanded,21483,19232,2251,6577,5004,1573,0.306149048,0.260191348,0.698800533,404,23,1046,48,1421,,**,**,869,72,**,825,2316,0.159719041,0.216979692,,,,0.132692014,0.010994045,,0.125973431,0.353641777,1288,144
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0810112,HMO,Bronze Expanded,5438,5032,406,1646,1308,338,0.302684811,0.259936407,0.832512315,154,**,310,21,445,,**,**,156,12,**,246,453,0.191122072,0.274352651,,,,0.096177559,0.007398274,,0.151664612,0.279284834,332,35
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0810121,HMO,Gold,4023,3799,224,1475,1273,202,0.36664181,0.335088181,0.901785714,13,**,339,13,300,,**,**,228,52,**,64,492,0.229830508,0.203389831,,,,0.154576271,0.035254237,,0.043389831,0.333559322,73,15
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0810122,HMO,Silver,3497,3226,271,1396,1180,216,0.399199314,0.365778053,0.79704797,**,**,319,**,303,,**,**,194,14,**,67,494,0.229331416,0.2178289,,,,0.139468009,0.010064702,,0.048166786,0.355140187,118,15
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0810123,HMO,Bronze Expanded,3388,3067,321,1330,1097,233,0.392561983,0.357678513,0.725856698,34,12,333,**,243,,**,**,247,46,**,95,366,0.25037594,0.182706767,,,,0.185714286,0.034586466,,0.071428571,0.27518797,125,27
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0810124,HMO,Gold,1923,1686,237,648,532,116,0.336973479,0.315539739,0.489451477,16,**,104,13,172,,**,**,109,**,**,52,198,0.163779528,0.270866142,,,,0.171653543,,,0.081889764,0.311811024,41,**
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0810125,HMO,Gold,2152,1982,170,683,567,116,0.317379182,0.286074672,0.682352941,**,12,50,**,150,,**,**,160,**,**,66,257,0.073206442,0.219619327,,,,0.234260615,,,0.096632504,0.376281113,62,**
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0810126,HMO,Gold,1373,1291,82,495,419,76,0.360524399,0.324554609,0.926829268,**,**,214,**,75,,**,**,33,**,**,21,208,0.388384755,0.136116152,,,,0.059891107,,,0.038112523,0.377495463,32,**
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0810127,HMO,Gold,781,724,57,295,239,56,0.377720871,0.330110497,0.98245614,11,**,47,**,98,,**,**,42,**,**,29,78,0.159863946,0.333333333,,,,0.142857143,,,0.098639456,0.265306122,17,**
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0810128,HMO,Gold,258,188,70,125,81,44,0.484496124,0.430851064,0.628571429,48,**,43,**,**,,**,**,**,**,**,48,24,0.373913043,,,,,,,,0.417391304,0.208695652,**,**
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0810129,HMO,Silver,1229,1149,80,462,391,71,0.375915378,0.340295909,0.8875,**,**,105,**,107,,**,**,76,13,**,23,135,0.22875817,0.233115468,,,,0.165577342,0.02832244,,0.050108932,0.294117647,49,**
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0810130,HMO,Silver,2095,1984,111,762,662,100,0.36372315,0.333669355,0.900900901,23,**,216,**,176,,**,**,129,21,**,57,162,0.283837057,0.231274639,,,,0.169513798,0.027595269,,0.074901445,0.212877792,73,15
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0810131,HMO,Silver,1461,1387,74,560,513,47,0.38329911,0.369863014,0.635135135,**,**,107,**,177,,**,**,93,14,**,32,137,0.191071429,0.316071429,,,,0.166071429,0.025,,0.057142857,0.244642857,46,**
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0810132,HMO,Silver,2372,2040,332,928,609,319,0.391231029,0.298529412,0.960843373,**,**,277,28,180,,**,**,78,21,**,38,306,0.307777778,0.2,,,,0.086666667,0.023333333,,0.042222222,0.34,71,16
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0810133,HMO,Silver,1986,1848,138,779,647,132,0.39224572,0.350108225,0.956521739,42,**,201,15,145,,**,**,102,36,**,89,191,0.263089005,0.189790576,,,,0.133507853,0.047120419,,0.116492147,0.25,84,15
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0810134,HMO,Bronze Expanded,2151,1980,171,629,508,121,0.292422129,0.256565657,0.707602339,41,**,82,**,182,,**,**,81,23,**,76,185,0.13036566,0.289348172,,,,0.128775835,0.036565978,,0.120826709,0.294117647,100,25
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0810135,HMO,Bronze Expanded,1970,1910,60,673,615,58,0.341624365,0.321989529,0.966666667,**,**,69,**,180,,**,**,70,16,**,50,286,0.102831595,0.268256334,,,,0.104321908,0.023845007,,0.074515648,0.426229508,112,21
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0810136,HMO,Bronze Expanded,1292,1169,123,481,394,87,0.372291022,0.337040205,0.707317073,**,**,98,**,145,,**,**,30,21,**,36,151,0.203742204,0.301455301,,,,0.062370062,0.043659044,,0.074844075,0.313929314,80,17
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0810137,HMO,Bronze Expanded,2355,2155,200,750,583,167,0.318471338,0.270533643,0.835,**,**,113,**,164,,**,**,132,25,**,25,294,0.150066401,0.217795485,,,,0.175298805,0.033200531,,0.033200531,0.390438247,125,24
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0810138,HMO,Bronze Expanded,619,554,65,215,157,58,0.34733441,0.283393502,0.892307692,**,**,56,**,45,,**,**,33,21,**,23,31,0.267942584,0.215311005,,,,0.157894737,0.100478469,,0.110047847,0.148325359,76,**
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0810139,HMO,Gold,2487,1856,631,746,430,316,0.299959791,0.231681034,0.500792393,23,52,165,**,112,,**,**,45,**,**,88,331,0.222672065,0.151147099,,,,0.060728745,,,0.118758435,0.446693657,34,15
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0810140,HMO,Silver,2248,1824,424,852,585,267,0.379003559,0.320723684,0.629716981,**,12,198,**,147,,**,**,68,**,**,37,389,0.235995232,0.175208582,,,,0.081048868,,,0.044100119,0.463647199,63,12
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0810142,HMO,Gold,998,854,144,328,248,80,0.328657315,0.290398126,0.555555556,**,**,16,**,95,,**,**,15,**,**,29,164,0.05015674,0.297805643,,,,0.047021944,,,0.090909091,0.514106583,18,**
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0810143,HMO,Gold,1246,1137,109,352,277,75,0.282504013,0.243623571,0.688073394,**,**,78,**,66,,**,**,23,**,**,15,168,0.222857143,0.188571429,,,,0.065714286,,,0.042857143,0.48,29,**
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0810144,HMO,Gold,863,693,170,314,205,109,0.363847045,0.295815296,0.641176471,**,**,86,**,63,,**,**,24,**,**,15,119,0.280130293,0.205211726,,,,0.078175896,,,0.048859935,0.38762215,**,**
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0810145,HMO,Gold,90,75,15,28,16,12,0.311111111,0.213333333,0.8,**,**,**,**,**,,**,**,**,**,**,**,**,,,,,,,,,,,**,**
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0810147,HMO,Silver,1521,1223,298,498,350,148,0.327416174,0.286181521,0.496644295,**,17,103,**,67,,**,**,48,**,**,40,237,0.208080808,0.135353535,,,,0.096969697,,,0.080808081,0.478787879,39,**
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0810148,HMO,Silver,1093,955,138,412,325,87,0.37694419,0.340314136,0.630434783,16,**,83,**,68,,**,**,47,**,**,39,172,0.202933985,0.166259169,,,,0.114914425,,,0.095354523,0.420537897,41,**
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0810149,HMO,Silver,472,408,64,181,153,28,0.383474576,0.375,0.4375,**,**,21,**,12,,**,**,33,22,**,15,78,0.116022099,0.066298343,,,,0.182320442,0.121546961,,0.082872928,0.430939227,15,**
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0810150,HMO,Silver,849,742,107,263,218,45,0.309776207,0.293800539,0.420560748,**,**,23,**,51,,**,**,46,**,**,21,119,0.088461538,0.196153846,,,,0.176923077,,,0.080769231,0.457692308,25,**
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0810151,HMO,Silver,510,325,185,231,156,75,0.452941176,0.48,0.405405405,13,**,27,**,42,,**,**,62,**,**,22,66,0.123287671,0.191780822,,,,0.283105023,,,0.100456621,0.301369863,**,**
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0810172,HMO,Bronze Expanded,1357,1005,352,547,322,225,0.403095063,0.32039801,0.639204545,**,18,100,36,59,,**,**,61,**,**,56,231,0.197238659,0.116370809,,,,0.120315582,,,0.110453649,0.455621302,53,13
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0810173,HMO,Bronze Expanded,578,447,131,201,144,57,0.347750865,0.322147651,0.435114504,**,**,23,**,50,,**,**,36,**,**,**,80,0.121693122,0.264550265,,,,0.19047619,,,,0.423280423,27,**
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0810174,HMO,Bronze Expanded,854,762,92,262,200,62,0.306791569,0.262467192,0.673913043,**,**,48,**,56,,**,**,34,**,**,12,109,0.185328185,0.216216216,,,,0.131274131,,,0.046332046,0.420849421,23,**
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0810175,HMO,Bronze Expanded,509,458,51,161,124,37,0.316306483,0.270742358,0.725490196,13,**,51,**,37,,**,**,12,**,**,17,40,0.324840764,0.23566879,,,,0.076433121,,,0.108280255,0.25477707,**,**
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0810176,HMO,Bronze Expanded,618,494,124,222,158,64,0.359223301,0.319838057,0.516129032,**,18,19,**,52,,**,**,27,**,**,22,102,0.085585586,0.234234234,,,,0.121621622,,,0.099099099,0.459459459,25,**
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0810177,HMO,Bronze Expanded,377,284,93,131,80,51,0.347480106,0.281690141,0.548387097,**,**,38,**,19,,**,**,12,13,**,**,43,0.304,0.152,,,,0.096,0.104,,,0.344,19,**
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0990122,PPO,Gold,1062348,1031909,30439,133639,125437,8202,0.125795879,0.121558199,0.269456947,12460,1139,4445,2178,15840,2683,2565,118,8477,5643,478,18682,78745,0.032927633,0.117339418,0.019875105,0.019000985,0.000874119,0.062795849,0.041802168,0.003540924,0.138392361,0.583326543,3445,441
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0990123,PPO,Silver,914845,893069,21776,165821,160413,5408,0.181255841,0.17961994,0.248346804,8521,726,6540,3530,28055,1638,1564,74,16370,3278,411,15136,95557,0.039165194,0.168009103,0.009809264,0.009366111,0.000443154,0.098032757,0.019630506,0.002461299,0.090642872,0.572249004,8653,1062
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0990126,PPO,Catastrophic,11400,10812,588,2299,2060,239,0.201666667,0.190529042,0.406462585,117,**,33,**,294,,**,**,73,119,**,230,1569,0.014236411,0.126833477,,,,0.031492666,0.05133736,,0.099223469,0.676876618,155,34
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0990127,PPO,Bronze Expanded,495537,479727,15810,90060,85987,4073,0.181742231,0.179241527,0.257621758,3766,498,3120,1112,12215,997,964,33,6688,2444,341,7618,57382,0.034359341,0.134519024,0.010979572,0.010616155,0.000363416,0.073652332,0.026914817,0.0037553,0.083894059,0.631925555,5976,728
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0990128,PPO,Gold,213976,207375,6601,26938,25396,1542,0.125892623,0.122464135,0.23360097,1633,251,1428,575,3560,276,257,19,2129,700,66,3063,15997,0.052463353,0.130790992,0.010139976,0.009441934,0.000698042,0.078217422,0.02571733,0.002424777,0.112531687,0.587714464,976,116
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0990129,PPO,Gold,377919,369843,8076,60036,58134,1902,0.158859438,0.157185617,0.23551263,3639,196,1677,1223,5810,674,624,50,3616,3834,201,5450,39296,0.02769246,0.095941081,0.011129826,0.010304171,0.000825655,0.059711351,0.063311206,0.003319132,0.089996367,0.648898577,1669,197
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0990130,PPO,Gold,177492,173493,3999,30120,29071,1049,0.169697789,0.167562956,0.262315579,1845,135,903,550,3511,233,220,13,2022,925,56,2856,19854,0.029743083,0.115645586,0.007674572,0.007246377,0.000428195,0.066600791,0.030467721,0.001844532,0.094071146,0.653952569,948,117
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0990131,PPO,Gold,68828,67943,885,9332,9069,263,0.135584355,0.133479534,0.297175141,690,**,442,157,1419,173,173,**,1008,282,37,1068,5017,0.046792293,0.150222316,0.018314631,0.018314631,,0.106711836,0.029853906,0.003917002,0.113063731,0.531124285,375,45
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0990132,PPO,Gold,32628,31864,764,4927,4726,201,0.151005272,0.148317851,0.263089005,619,34,163,32,895,79,79,**,616,286,13,1017,1903,0.032783588,0.180008045,0.015888978,0.015888978,,0.123893805,0.057522124,0.002614642,0.204545455,0.382743363,249,34
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0990133,PPO,Gold,43087,42227,860,6780,6611,169,0.157356047,0.1565586,0.196511628,244,33,230,73,1051,59,59,**,892,992,20,471,3136,0.033571741,0.153408262,0.008611881,0.008611881,,0.130199971,0.14479638,0.002919282,0.068749088,0.457743395,336,49
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0990134,PPO,Gold,11378,11167,211,1864,1810,54,0.163824925,0.162084714,0.255924171,99,**,102,11,450,13,13,**,231,42,**,151,891,0.054255319,0.239361702,0.006914894,0.006914894,,0.12287234,0.022340426,,0.080319149,0.47393617,80,**
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0990135,PPO,Gold,12231,11866,365,1716,1617,99,0.14029924,0.136271701,0.271232877,76,18,53,36,301,,**,**,302,54,**,139,880,0.030653557,0.174089069,,,,0.174667438,0.031231926,,0.080393291,0.508964719,117,12
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0990136,PPO,Gold,31487,30708,779,4950,4849,101,0.157207737,0.157906734,0.129653402,272,13,391,42,985,179,179,**,692,207,24,488,2055,0.077872934,0.196176061,0.035650269,0.035650269,,0.137821151,0.041226847,0.004779924,0.097191794,0.40928102,350,48
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0990137,PPO,Gold,22168,21759,409,3287,3157,130,0.148276795,0.145089388,0.317848411,299,26,129,47,680,38,38,**,492,173,**,454,1332,0.039114615,0.206185567,0.011522135,0.011522135,,0.149181322,0.052456034,,0.137659187,0.40388114,259,39
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0990138,PPO,Gold,61594,60710,884,11517,11348,169,0.186982498,0.18692143,0.191176471,644,29,440,211,2625,126,109,17,1320,287,24,1377,5399,0.037937575,0.226332126,0.010863942,0.009398172,0.00146577,0.113812726,0.024745646,0.002069322,0.118727367,0.465511295,499,53
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0990139,PPO,Gold,46314,45593,721,7633,7403,230,0.164809777,0.162371417,0.319001387,523,46,354,59,1651,92,92,**,969,302,11,991,3322,0.046021841,0.214638586,0.011960478,0.011960478,,0.125975039,0.03926157,0.001430057,0.128835153,0.431877275,375,54
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0990140,PPO,Silver,324919,316010,8909,58022,56133,1889,0.178573737,0.177630455,0.212032776,2478,182,2973,1319,9956,485,392,93,6241,1193,163,4331,33171,0.050809222,0.170150223,0.008288756,0.006699366,0.00158939,0.106660058,0.020388632,0.002785706,0.07401774,0.566899663,3971,411
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0990141,PPO,Silver,512174,499565,12609,107960,105131,2829,0.21078774,0.210445087,0.22436355,4413,325,3752,2873,14996,866,826,40,10171,1406,227,7869,69299,0.034553257,0.138102518,0.007975245,0.007606874,0.000368372,0.093667692,0.012948262,0.002090509,0.072467906,0.638194611,5835,612
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0990142,PPO,Silver,289101,283993,5108,61250,59693,1557,0.211863674,0.210191801,0.304815975,2003,110,2540,1097,8863,574,555,19,5435,868,69,4288,38971,0.041228412,0.143861187,0.009316972,0.00900857,0.000308402,0.088219062,0.014089079,0.001119984,0.06960135,0.632563953,3701,364
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0990143,PPO,Silver,133863,131749,2114,22113,21300,813,0.165191278,0.161671056,0.384578997,823,96,1193,574,3963,118,118,**,3610,433,46,1773,11122,0.053598706,0.178048342,0.005301465,0.005301465,,0.162188876,0.01945368,0.002066673,0.079656753,0.499685506,1953,189
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0990144,PPO,Silver,132021,129581,2440,21874,21279,595,0.165685762,0.164213889,0.243852459,1221,59,1467,192,3935,144,144,**,3418,1007,25,2407,9719,0.066314076,0.177877226,0.006509357,0.006509357,,0.154506826,0.045520297,0.001130097,0.108805714,0.439336407,1984,211
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0990145,PPO,Silver,115161,112848,2313,21226,20809,417,0.184315871,0.184398483,0.180285344,691,79,1140,325,3932,215,215,**,3165,608,29,1681,10578,0.053400787,0.184185872,0.010071201,0.010071201,,0.148257448,0.02848042,0.001358441,0.078742739,0.495503092,1605,194
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0990146,PPO,Silver,46119,45323,796,8012,7816,196,0.173724495,0.172451073,0.246231156,352,59,364,75,1750,119,103,16,1169,184,12,654,3809,0.045155688,0.217094653,0.014762436,0.012777571,0.001984865,0.145019228,0.022825952,0.001488649,0.081131373,0.47252202,655,83
IL,36096,Blue Cross Blue Shield of Illinois,No,10556396,2169193,0.211254317,36096IL0990147,PPO,Silver,42198,41572,626,7179,7120,59,0.170126546,0.171269123,0.094249201,185,**,374,74,1639,71,71,**,1138,248,**,423,3334,0.051750381,0.226788432,0.00982427,0.00982427,,0.157465062,0.03431576,,0.058530511,0.461325585,621,72
